name,type,producers,expect,played,tags
GTA5,动作游戏,Rockstar Games,29634,11639, 沙盒 第三人称视角 射击 多人 角色扮演 冒险 竞速
方舟：生存进化,动作角色扮演,Wildcard/Wildcard、蜗牛游戏,31573,6366, 生存 沙盒 恐龙 龙 冒险 多人 建筑
绝地求生,第一人称射击,PUBG Corporation,27655,6348, 大逃杀 生存 电子竞技 沙盒 第三人称视角 玩家对战 多人
堡垒之夜,第三人称射击,Epic Games,25994,3626, 生存 大逃杀 沙盒 多人
正当防卫3,第三人称射击,Avalanche Studios/Square Enix,13696,2510, 射击 沙盒 冒险 探索 合作 欢乐 跑酷
怪物猎人：世界,动作游戏,"CAPCOM Co., Ltd.",7622,6113, 奇幻 狩猎 冒险 沙盒 角色扮演 探索 合作
尼尔：机械纪元,动作角色扮演,白金工作室/Square Enix,7459,3969, 科幻 美少女 角色扮演 角色动作 好评原声音乐 剧情丰富 氛围
刺客信条：起源,动作游戏,Ubisoft Montreal/Ubisoft,8098,3297, 开放世界 动作 角色扮演 剧情丰富 历史题材 潜入 跑酷
塞尔达传说：荒野之息,动作游戏,任天堂,5000,5825, 沙盒 奇幻 3D
火影忍者疾风传：究极忍者风暴4,格斗游戏,Cyber Connect2/Namco Bandai,9244,1475, 忍者 动作 日本动画 冒险 在线合作 开放世界 带状卷轴动作
龙珠：超宇宙2,格斗游戏,NBGI/BANDAI NAMCO Entertainment,8820,1570, 局域网联机 改编 单人 格斗 自创角色 第三人称视角 多人
孤岛惊魂5,第一人称射击,Ubisoft,5819,3216, 沙盒 合作 多人 自创角色 冒险 美国 单人
使命召唤14：二战,第一人称射击,Sledgehammer Games/Activision,5180,3002, 二战 单人战役 历史题材 高画质 多人联机 动作 互动电影
看门狗2,动作游戏,Ubisoft,5743,2339, 射击 冒险 第三人称视角 动作 开放世界 单人 跑酷
真三国无双8,动作游戏,ω-Force/KOEI,6223,1455, 三国 沙盒 动作 砍杀 历史 开放世界 多人
模拟人生4,模拟游戏,The Sim Studio/EA,6670,948, 3D
漫威蜘蛛侠,动作游戏,Insomniac Game/索尼,6197,1399, 漫画英雄 3D 改编 沙盒
战神4,动作游戏,索尼圣莫妮卡/索尼,4837,2617, 奇幻 北欧神话
荒野大镖客：救赎2,第三人称射击,Rockstar,4280,2239, 西部风格 沙盒 3D
巫师3：狂猎,动作角色扮演,CD Projekt RED/CD Projekt,2426,3960, 奇幻 沙盒 中世纪 开放世界 剧情丰富 单人 冒险
饥荒,冒险游戏,Klei Entertainment,4597,1609, 沙盒 生存 冒险 单人 多人 开放世界 可模组化
上古卷轴5：天际,角色扮演,Bethesda,3194,2610, 奇幻 沙盒 角色扮演 冒险 龙 开放世界 自创角色
神秘海域4：盗贼末路,动作游戏,Naughty Dog/SCE,4141,1219, 3D
古墓丽影：暗影,动作游戏,Eidos Montreal/Square Enix,3849,1175, 潜入暗杀 生存 3D
火影忍者疾风传：究极忍者风暴3,格斗游戏,Cyber Connect2/Namco Bandai,4441,480, 忍者 动作 单人 开放世界 日本动画 合作 带状卷轴动作
生存之旅2,第一人称射击,Valve,4205,638, 生存 丧尸 局域网联机 低配置 第一人称射击 生存恐怖 射击
极品飞车20：复仇,竞速游戏,Ghost Games/EA,4042,647, 赛车 竞技 互动电影 女主人公
三国群英传7,策略游戏,宇峻奥汀/游戏天堂,4264,416, 三国
孤岛惊魂：原始杀戮,第一人称射击,Ubisoft,3806,794, 沙盒 单人 狩猎 冒险 射击 动作 开放世界
底特律：变人,冒险游戏,Quantic Dream/索尼,3749,825, 科幻
植物大战僵尸：花园战争,第三人称射击,Popcap Games/Electronic Arts,3842,575, Q版 丧尸
星露谷物语,角色扮演,ConcernedApe/Chucklefish,2980,1156, 独立游戏 像素 开放世界 模拟 建造 沙盒 工艺
消逝的光芒,第一人称射击,Techland/Warner Bros.,3245,875, 丧尸 恐怖 生存恐怖 沙盒 射击 动作 合作
古墓丽影：崛起,动作游戏,Crystal Dynamics/Square Enix,2393,1679, 潜入暗杀 潜行 快速反应事件 女主人翁 跑酷 劳拉·克劳馥 探索
战地1,第一人称射击,EA DICE/EA,2515,1471, 一战 3D 沙盒
森林,动作游戏,Endnight Games,2989,959, 生存 恐怖 生存恐怖 建造 探索 开放世界 工艺
